row_id,date,spot,strike,moneyness,option_type,maturity_label,maturity_days,tau,iv_observed
0,2025-01-02,22140.38,17700,0.8,call,1M,30,0.11905,25.01
1,2025-01-02,22140.38,17700,0.8,put,1M,30,0.11905,
2,2025-01-02,22140.38,18800,0.85,call,1M,30,0.11905,
3,2025-01-02,22140.38,18800,0.85,put,1M,30,0.11905,
4,2025-01-02,22140.38,19350,0.875,call,1M,30,0.11905,22.7692
5,2025-01-02,22140.38,19350,0.875,put,1M,30,0.11905,
6,2025-01-02,22140.38,19950,0.9,call,1M,30,0.11905,
7,2025-01-02,22140.38,19950,0.9,put,1M,30,0.11905,23.6599
8,2025-01-02,22140.38,20500,0.925,call,1M,30,0.11905,22.4172
9,2025-01-02,22140.38,20500,0.925,put,1M,30,0.11905,22.1971
10,2025-01-02,22140.38,21050,0.95,call,1M,30,0.11905,
11,2025-01-02,22140.38,21050,0.95,put,1M,30,0.11905,
12,2025-01-02,22140.38,21600,0.975,call,1M,30,0.11905,20.0757
13,2025-01-02,22140.38,21600,0.975,put,1M,30,0.11905,21.3051
14,2025-01-02,22140.38,22150,1.0,call,1M,30,0.11905,
15,2025-01-02,22140.38,22150,1.0,put,1M,30,0.11905,
16,2025-01-02,22140.38,22700,1.025,call,1M,30,0.11905,
17,2025-01-02,22140.38,22700,1.025,put,1M,30,0.11905,19.1438
18,2025-01-02,22140.38,23250,1.05,call,1M,30,0.11905,
19,2025-01-02,22140.38,23250,1.05,put,1M,30,0.11905,
20,2025-01-02,22140.38,23800,1.075,call,1M,30,0.11905,19.698
21,2025-01-02,22140.38,23800,1.075,put,1M,30,0.11905,
22,2025-01-02,22140.38,24350,1.1,call,1M,30,0.11905,
23,2025-01-02,22140.38,24350,1.1,put,1M,30,0.11905,18.3609
24,2025-01-02,22140.38,24900,1.125,call,1M,30,0.11905,19.3696
25,2025-01-02,22140.38,24900,1.125,put,1M,30,0.11905,
26,2025-01-02,22140.38,25450,1.15,call,1M,30,0.11905,20.2115
27,2025-01-02,22140.38,25450,1.15,put,1M,30,0.11905,
28,2025-01-02,22140.38,26550,1.2,call,1M,30,0.11905,18.216
29,2025-01-02,22140.38,26550,1.2,put,1M,30,0.11905,
30,2025-01-02,22140.38,17700,0.8,call,2M,60,0.2381,23.4615
31,2025-01-02,22140.38,17700,0.8,put,2M,60,0.2381,26.7163
32,2025-01-02,22140.38,18800,0.85,call,2M,60,0.2381,23.2358
33,2025-01-02,22140.38,18800,0.85,put,2M,60,0.2381,23.5191
34,2025-01-02,22140.38,19350,0.875,call,2M,60,0.2381,
35,2025-01-02,22140.38,19350,0.875,put,2M,60,0.2381,
36,2025-01-02,22140.38,19950,0.9,call,2M,60,0.2381,21.7287
37,2025-01-02,22140.38,19950,0.9,put,2M,60,0.2381,
38,2025-01-02,22140.38,20500,0.925,call,2M,60,0.2381,20.5941
39,2025-01-02,22140.38,20500,0.925,put,2M,60,0.2381,21.0365
